?defined_class	?defined_class_label	?entity	?entity_label
<http://purl.obolibrary.org/obo/HP_0000078>	"Abnormality of the genital system"	<http://purl.obolibrary.org/obo/UBERON_0000990>	"reproductive system"
<http://purl.obolibrary.org/obo/HP_0000168>	"Abnormality of the gingiva"	<http://purl.obolibrary.org/obo/UBERON_0001828>	"gingiva"
<http://purl.obolibrary.org/obo/HP_0002056>	"Abnormality of the glabella"	<http://purl.obolibrary.org/obo/UBERON_0016440>	"glabella region of bone"
<http://purl.obolibrary.org/obo/HP_0011912>	"Abnormality of the glenoid fossa"	<http://purl.obolibrary.org/obo/UBERON_0006657>	"glenoid fossa"
<http://purl.obolibrary.org/obo/HP_0100705>	"Abnormality of the glial cells"	<http://purl.obolibrary.org/obo/CL_0000125>	"glial cell"
<http://purl.obolibrary.org/obo/HP_0001443>	"Abnormality of the gluteal musculature"	<http://purl.obolibrary.org/obo/UBERON_0002000>	"gluteal muscle"
<http://purl.obolibrary.org/obo/HP_0010456>	"Abnormality of the greater sacrosciatic notch"	<http://purl.obolibrary.org/obo/UBERON_0014411>	"greater sciatic notch"
<http://purl.obolibrary.org/obo/HP_0001595>	"Abnormality of the hair"	<http://purl.obolibrary.org/obo/UBERON_0001037>	"strand of hair"
<http://purl.obolibrary.org/obo/HP_0009553>	"Abnormality of the hairline"	<http://purl.obolibrary.org/obo/UBERON_0004104>	"hairline"
<http://purl.obolibrary.org/obo/HP_0100737>	"Abnormality of the hard palate"	<http://purl.obolibrary.org/obo/UBERON_0003216>	"hard palate"
<http://purl.obolibrary.org/obo/HP_0001654>	"Abnormality of the heart valves"	_:Bgenid15211	
<http://purl.obolibrary.org/obo/HP_0011039>	"Abnormality of the helix"	<http://purl.obolibrary.org/obo/UBERON_0002488>	"helix"
<http://purl.obolibrary.org/obo/HP_0010472>	"Abnormality of the heme biosynthetic pathway"	<http://purl.obolibrary.org/obo/GO_0006783>	"heme biosynthetic process"
<http://purl.obolibrary.org/obo/HP_0001384>	"Abnormality of the hip joint"	<http://purl.obolibrary.org/obo/UBERON_0001486>	"hip joint"
<http://purl.obolibrary.org/obo/HP_0003905>	"Abnormality of the humeral epiphyseal plate"	_:Bgenid24443	
<http://purl.obolibrary.org/obo/HP_0100744>	"Abnormality of the humeroradial joint"	<http://purl.obolibrary.org/obo/UBERON_0011111>	"humeroradial joint"
<http://purl.obolibrary.org/obo/HP_0100745>	"Abnormality of the humeroulnar joint"	<http://purl.obolibrary.org/obo/UBERON_0011110>	"humeroulnar joint"
<http://purl.obolibrary.org/obo/HP_0003063>	"Abnormality of the humerus"	<http://purl.obolibrary.org/obo/UBERON_0000976>	"humerus"
<http://purl.obolibrary.org/obo/HP_0000864>	"Abnormality of the hypothalamus-pituitary axis"	<http://purl.obolibrary.org/obo/UBERON_0004092>	"hypothalamus-pituitary axis"
<http://purl.obolibrary.org/obo/HP_0002867>	"Abnormality of the ilium"	<http://purl.obolibrary.org/obo/UBERON_0001273>	"ilium"
<http://purl.obolibrary.org/obo/HP_0000676>	"Abnormality of the incisor"	<http://purl.obolibrary.org/obo/UBERON_0001098>	"incisor tooth"
<http://purl.obolibrary.org/obo/HP_0011453>	"Abnormality of the incus"	<http://purl.obolibrary.org/obo/UBERON_0001688>	"incus bone"
<http://purl.obolibrary.org/obo/HP_0011384>	"Abnormality of the internal auditory canal"	<http://purl.obolibrary.org/obo/UBERON_0011859>	"internal acoustic meatus"
<http://purl.obolibrary.org/obo/HP_0011040>	"Abnormality of the intrahepatic bile duct"	<http://purl.obolibrary.org/obo/UBERON_0003704>	"intrahepatic bile duct"
<http://purl.obolibrary.org/obo/HP_0010989>	"Abnormality of the intrinsic pathway"	<http://purl.obolibrary.org/obo/GO_0007597>	"blood coagulation, intrinsic pathway"
<http://purl.obolibrary.org/obo/HP_0000525>	"Abnormality of the iris"	<http://purl.obolibrary.org/obo/UBERON_0001769>	"iris"
<http://purl.obolibrary.org/obo/HP_0003174>	"Abnormality of the ischium"	<http://purl.obolibrary.org/obo/UBERON_0001274>	"ischium"
<http://purl.obolibrary.org/obo/HP_0003943>	"Abnormality of the joint spaces of the elbow"	<http://purl.obolibrary.org/obo/UBERON_0004099>	"joint space of elbow"
<http://purl.obolibrary.org/obo/HP_0000058>	"Abnormality of the labia"	<http://purl.obolibrary.org/obo/UBERON_0004084>	"genital labium"
<http://purl.obolibrary.org/obo/HP_0012881>	"Abnormality of the labia majora"	<http://purl.obolibrary.org/obo/UBERON_0004085>	"labium majora"
<http://purl.obolibrary.org/obo/HP_0012880>	"Abnormality of the labia minora"	<http://purl.obolibrary.org/obo/UBERON_0004014>	"labium minora"
<http://purl.obolibrary.org/obo/HP_0011481>	"Abnormality of the lacrimal duct"	<http://purl.obolibrary.org/obo/UBERON_0001850>	"lacrimal drainage system"
<http://purl.obolibrary.org/obo/HP_0011482>	"Abnormality of the lacrimal gland"	<http://purl.obolibrary.org/obo/UBERON_0001817>	"lacrimal gland"
<http://purl.obolibrary.org/obo/HP_0011479>	"Abnormality of the lacrimal punctum"	<http://purl.obolibrary.org/obo/UBERON_0010284>	"lacrimal punctum"
<http://purl.obolibrary.org/obo/HP_0001711>	"Abnormality of the left ventricle"	<http://purl.obolibrary.org/obo/UBERON_0002084>	"heart left ventricle"
<http://purl.obolibrary.org/obo/HP_0011103>	"Abnormality of the left ventricular outflow tract"	<http://purl.obolibrary.org/obo/UBERON_0005956>	"outflow part of left ventricle"
<http://purl.obolibrary.org/obo/HP_0000517>	"Abnormality of the lens"	<http://purl.obolibrary.org/obo/UBERON_0000965>	"lens of camera-type eye"
<http://purl.obolibrary.org/obo/HP_0000159>	"Abnormality of the lip"	<http://purl.obolibrary.org/obo/UBERON_0001833>	"lip"
<http://purl.obolibrary.org/obo/HP_0001392>	"Abnormality of the liver"	<http://purl.obolibrary.org/obo/UBERON_0002107>	"liver"
<http://purl.obolibrary.org/obo/HP_0010936>	"Abnormality of the lower urinary tract"	<http://purl.obolibrary.org/obo/UBERON_0001556>	"lower urinary tract"
<http://purl.obolibrary.org/obo/HP_0100712>	"Abnormality of the lumbar spine"	<http://purl.obolibrary.org/obo/UBERON_0006074>	"lumbar region of vertebral column"
<http://purl.obolibrary.org/obo/HP_0045053>	"Abnormality of the lumbosacral nerve plexus"	<http://purl.obolibrary.org/obo/UBERON_0001815>	"lumbosacral nerve plexus"
<http://purl.obolibrary.org/obo/HP_0100763>	"Abnormality of the lymphatic system"	<http://purl.obolibrary.org/obo/UBERON_0006558>	"lymphatic part of lymphoid system"
<http://purl.obolibrary.org/obo/HP_0100766>	"Abnormality of the lymphatic vessels"	<http://purl.obolibrary.org/obo/UBERON_0001473>	"lymphatic vessel"
<http://purl.obolibrary.org/obo/HP_0010461>	"Abnormality of the male genitalia"	<http://purl.obolibrary.org/obo/UBERON_0000079>	"male reproductive system"
<http://purl.obolibrary.org/obo/HP_0011454>	"Abnormality of the malleus"	<http://purl.obolibrary.org/obo/UBERON_0001689>	"malleus bone"
<http://purl.obolibrary.org/obo/HP_0000264>	"Abnormality of the mastoid"	<http://purl.obolibrary.org/obo/UBERON_0011220>	"mastoid process of temporal bone"
<http://purl.obolibrary.org/obo/HP_0430023>	"Abnormality of the maxillary sinus"	<http://purl.obolibrary.org/obo/UBERON_0001764>	"maxillary sinus"
<http://purl.obolibrary.org/obo/HP_0045026>	"Abnormality of the mediastinum"	<http://purl.obolibrary.org/obo/UBERON_0003728>	"mediastinum"
<http://purl.obolibrary.org/obo/HP_0011441>	"Abnormality of the medulla oblongata"	<http://purl.obolibrary.org/obo/UBERON_0001896>	"medulla oblongata"
<http://purl.obolibrary.org/obo/HP_0100253>	"Abnormality of the medullary cavity of the long bones"	<http://purl.obolibrary.org/obo/UBERON_0016413>	"medullary cavity of long bone"
<http://purl.obolibrary.org/obo/HP_0010651>	"Abnormality of the meninges"	<http://purl.obolibrary.org/obo/UBERON_0002360>	"meninx"
<http://purl.obolibrary.org/obo/HP_0000140>	"Abnormality of the menstrual cycle"	<http://purl.obolibrary.org/obo/GO_0042703>	"menstruation"
<http://purl.obolibrary.org/obo/HP_0011283>	"Abnormality of the metencephalon"	<http://purl.obolibrary.org/obo/UBERON_0001895>	"metencephalon"
<http://purl.obolibrary.org/obo/HP_0100708>	"Abnormality of the microglia"	<http://purl.obolibrary.org/obo/CL_0000129>	"microglial cell"
<http://purl.obolibrary.org/obo/HP_0004452>	"Abnormality of the middle ear ossicles"	<http://purl.obolibrary.org/obo/UBERON_0001686>	"auditory ossicle bone"
<http://purl.obolibrary.org/obo/HP_0009833>	"Abnormality of the middle phalanges of the hand"	<http://purl.obolibrary.org/obo/UBERON_0003864>	"middle phalanx of manus"
<http://purl.obolibrary.org/obo/HP_0010183>	"Abnormality of the middle phalanges of the toes"	<http://purl.obolibrary.org/obo/UBERON_0003866>	"middle phalanx of pes"
<http://purl.obolibrary.org/obo/HP_0009543>	"Abnormality of the middle phalanx of the 2nd finger"	<http://purl.obolibrary.org/obo/UBERON_0004320>	"middle phalanx of manual digit 2"
<http://purl.obolibrary.org/obo/HP_0010357>	"Abnormality of the middle phalanx of the 2nd toe"	<http://purl.obolibrary.org/obo/UBERON_0004324>	"middle phalanx of pedal digit 2"
<http://purl.obolibrary.org/obo/HP_0004172>	"Abnormality of the middle phalanx of the 3rd finger"	<http://purl.obolibrary.org/obo/UBERON_0004321>	"middle phalanx of manual digit 3"
<http://purl.obolibrary.org/obo/HP_0010369>	"Abnormality of the middle phalanx of the 3rd toe"	<http://purl.obolibrary.org/obo/UBERON_0004325>	"middle phalanx of pedal digit 3"
<http://purl.obolibrary.org/obo/HP_0009283>	"Abnormality of the middle phalanx of the 4th finger"	<http://purl.obolibrary.org/obo/UBERON_0004322>	"middle phalanx of manual digit 4"
<http://purl.obolibrary.org/obo/HP_0010381>	"Abnormality of the middle phalanx of the 4th toe"	<http://purl.obolibrary.org/obo/UBERON_0004326>	"middle phalanx of pedal digit 4"
<http://purl.obolibrary.org/obo/HP_0004219>	"Abnormality of the middle phalanx of the 5th finger"	<http://purl.obolibrary.org/obo/UBERON_0004323>	"middle phalanx of manual digit 5"
<http://purl.obolibrary.org/obo/HP_0010393>	"Abnormality of the middle phalanx of the 5th toe"	<http://purl.obolibrary.org/obo/UBERON_0004327>	"middle phalanx of pedal digit 5"
<http://purl.obolibrary.org/obo/HP_0000309>	"Abnormality of the midface"	<http://purl.obolibrary.org/obo/UBERON_0004089>	"midface"
<http://purl.obolibrary.org/obo/HP_0011006>	"Abnormality of the musculature of the neck"	<http://purl.obolibrary.org/obo/UBERON_0004465>	"musculature of neck"
<http://purl.obolibrary.org/obo/HP_0010939>	"Abnormality of the nasal bone"	<http://purl.obolibrary.org/obo/UBERON_0001681>	"nasal bone"
<http://purl.obolibrary.org/obo/HP_0010640>	"Abnormality of the nasal cavity"	<http://purl.obolibrary.org/obo/UBERON_0001707>	"nasal cavity"
<http://purl.obolibrary.org/obo/HP_0011119>	"Abnormality of the nasal dorsum"	<http://purl.obolibrary.org/obo/UBERON_0016464>	"dorsum of nose"
<http://purl.obolibrary.org/obo/HP_0005289>	"Abnormality of the nasolabial region"	<http://purl.obolibrary.org/obo/UBERON_0004101>	"nasolabial region"
<http://purl.obolibrary.org/obo/HP_0000707>	"Abnormality of the nervous system"	<http://purl.obolibrary.org/obo/UBERON_0001016>	"nervous system"
<http://purl.obolibrary.org/obo/HP_0012294>	"Abnormality of the occipital bone"	<http://purl.obolibrary.org/obo/UBERON_0001676>	"occipital bone"
<http://purl.obolibrary.org/obo/HP_0003310>	"Abnormality of the odontoid process"	<http://purl.obolibrary.org/obo/UBERON_0004096>	"odontoid process of cervical vertebra 2"
<http://purl.obolibrary.org/obo/HP_0100706>	"Abnormality of the oligodendroglia"	<http://purl.obolibrary.org/obo/CL_0000128>	"oligodendrocyte"
<http://purl.obolibrary.org/obo/HP_0100339>	"Abnormality of the os naviculare pedis"	<http://purl.obolibrary.org/obo/UBERON_0001451>	"navicular bone of pes"
<http://purl.obolibrary.org/obo/HP_0000137>	"Abnormality of the ovary"	<http://purl.obolibrary.org/obo/UBERON_0000992>	"female gonad"
<http://purl.obolibrary.org/obo/HP_0100871>	"Abnormality of the palm"	<http://purl.obolibrary.org/obo/UBERON_0008878>	"palmar part of manus"
<http://purl.obolibrary.org/obo/HP_0010490>	"Abnormality of the palmar creases"	<http://purl.obolibrary.org/obo/UBERON_0019246>	"palmar skin crease"
<http://purl.obolibrary.org/obo/HP_0006476>	"Abnormality of the pancreatic islet cells"	_:Bgenid31694	
<http://purl.obolibrary.org/obo/HP_0000245>	"Abnormality of the paranasal sinuses"	<http://purl.obolibrary.org/obo/UBERON_0001825>	"paranasal sinus"
<http://purl.obolibrary.org/obo/HP_0002696>	"Abnormality of the parietal bone"	<http://purl.obolibrary.org/obo/UBERON_0000210>	"tetrapod parietal bone"
<http://purl.obolibrary.org/obo/HP_0000606>	"Abnormality of the periorbital region"	<http://purl.obolibrary.org/obo/UBERON_0004090>	"periorbital region"
<http://purl.obolibrary.org/obo/HP_0040166>	"Abnormality of the periosteum"	<http://purl.obolibrary.org/obo/UBERON_0002515>	"periosteum"
<http://purl.obolibrary.org/obo/HP_0410008>	"Abnormality of the peripheral nervous system"	<http://purl.obolibrary.org/obo/UBERON_0000010>	"peripheral nervous system"
<http://purl.obolibrary.org/obo/HP_0010330>	"Abnormality of the phalanges of the 3rd toe"	<http://purl.obolibrary.org/obo/UBERON_0003642>	"pedal digit 3 phalanx"
<http://purl.obolibrary.org/obo/HP_0009172>	"Abnormality of the phalanges of the 4th finger"	<http://purl.obolibrary.org/obo/UBERON_0003638>	"manual digit 4 phalanx"
<http://purl.obolibrary.org/obo/HP_0010336>	"Abnormality of the phalanges of the 4th toe"	<http://purl.obolibrary.org/obo/UBERON_0003862>	"pedal digit 4 phalanx"
<http://purl.obolibrary.org/obo/HP_0010342>	"Abnormality of the phalanges of the 5th toe"	<http://purl.obolibrary.org/obo/UBERON_0003863>	"pedal digit 5 phalanx"
<http://purl.obolibrary.org/obo/HP_0010057>	"Abnormality of the phalanges of the hallux"	<http://purl.obolibrary.org/obo/UBERON_0003640>	"pedal digit 1 phalanx"
<http://purl.obolibrary.org/obo/HP_0010161>	"Abnormality of the phalanges of the toes"	<http://purl.obolibrary.org/obo/UBERON_0001449>	"phalanx of pes"
<http://purl.obolibrary.org/obo/HP_0000288>	"Abnormality of the philtrum"	<http://purl.obolibrary.org/obo/UBERON_0005402>	"philtrum"
<http://purl.obolibrary.org/obo/HP_0012503>	"Abnormality of the pituitary gland"	<http://purl.obolibrary.org/obo/UBERON_0000007>	"pituitary gland"
<http://purl.obolibrary.org/obo/HP_0100767>	"Abnormality of the placenta"	<http://purl.obolibrary.org/obo/UBERON_0001987>	"placenta"
<http://purl.obolibrary.org/obo/HP_0100872>	"Abnormality of the plantar skin of foot"	<http://purl.obolibrary.org/obo/UBERON_0008338>	"plantar part of pes"
<http://purl.obolibrary.org/obo/HP_0000932>	"Abnormality of the posterior cranial fossa"	<http://purl.obolibrary.org/obo/UBERON_0008788>	"posterior cranial fossa"
<http://purl.obolibrary.org/obo/HP_0011751>	"Abnormality of the posterior pituitary"	<http://purl.obolibrary.org/obo/UBERON_0002198>	"neurohypophysis"
<http://purl.obolibrary.org/obo/HP_0004329>	"Abnormality of the posterior segment of the globe"	<http://purl.obolibrary.org/obo/UBERON_0001802>	"posterior segment of eyeball"
<http://purl.obolibrary.org/obo/HP_0010758>	"Abnormality of the premaxilla"	<http://purl.obolibrary.org/obo/UBERON_0002244>	"premaxilla"
<http://purl.obolibrary.org/obo/HP_0100587>	"Abnormality of the preputium"	<http://purl.obolibrary.org/obo/UBERON_0001332>	"prepuce of penis"
<http://purl.obolibrary.org/obo/HP_0010594>	"Abnormality of the proximal fibular epiphysis"	<http://purl.obolibrary.org/obo/UBERON_0008775>	"proximal epiphysis of fibula"
<http://purl.obolibrary.org/obo/HP_0010598>	"Abnormality of the proximal humeral epiphysis"	<http://purl.obolibrary.org/obo/UBERON_0004411>	"proximal epiphysis of humerus"
<http://purl.obolibrary.org/obo/HP_0009834>	"Abnormality of the proximal phalanges of the hand"	<http://purl.obolibrary.org/obo/UBERON_0002234>	"proximal phalanx of manus"
<http://purl.obolibrary.org/obo/HP_0009544>	"Abnormality of the proximal phalanx of the 2nd finger"	<http://purl.obolibrary.org/obo/UBERON_0004328>	"proximal phalanx of manual digit 2"
<http://purl.obolibrary.org/obo/HP_0010358>	"Abnormality of the proximal phalanx of the 2nd toe"	<http://purl.obolibrary.org/obo/UBERON_0004333>	"proximal phalanx of pedal digit 2"
<http://purl.obolibrary.org/obo/HP_0009358>	"Abnormality of the proximal phalanx of the 3rd finger"	<http://purl.obolibrary.org/obo/UBERON_0004329>	"proximal phalanx of manual digit 3"
<http://purl.obolibrary.org/obo/HP_0010370>	"Abnormality of the proximal phalanx of the 3rd toe"	<http://purl.obolibrary.org/obo/UBERON_0004334>	"proximal phalanx of pedal digit 3"
<http://purl.obolibrary.org/obo/HP_0009284>	"Abnormality of the proximal phalanx of the 4th finger"	<http://purl.obolibrary.org/obo/UBERON_0004330>	"proximal phalanx of manual digit 4"
<http://purl.obolibrary.org/obo/HP_0010382>	"Abnormality of the proximal phalanx of the 4th toe"	<http://purl.obolibrary.org/obo/UBERON_0004335>	"proximal phalanx of pedal digit 4"
<http://purl.obolibrary.org/obo/HP_0009150>	"Abnormality of the proximal phalanx of the 5th finger"	<http://purl.obolibrary.org/obo/UBERON_0004331>	"proximal phalanx of manual digit 5"
<http://purl.obolibrary.org/obo/HP_0010394>	"Abnormality of the proximal phalanx of the 5th toe"	<http://purl.obolibrary.org/obo/UBERON_0004336>	"proximal phalanx of pedal digit 5"
<http://purl.obolibrary.org/obo/HP_0010052>	"Abnormality of the proximal phalanx of the hallux"	<http://purl.obolibrary.org/obo/UBERON_0004332>	"proximal phalanx of pedal digit 1"
<http://purl.obolibrary.org/obo/HP_0010596>	"Abnormality of the proximal radial epiphysis"	<http://purl.obolibrary.org/obo/UBERON_0004413>	"proximal epiphysis of radius"
<http://purl.obolibrary.org/obo/HP_0010591>	"Abnormality of the proximal tibial epiphysis"	<http://purl.obolibrary.org/obo/UBERON_0008772>	"proximal epiphysis of tibia"
<http://purl.obolibrary.org/obo/HP_0010601>	"Abnormality of the proximal ulnar epiphysis"	<http://purl.obolibrary.org/obo/UBERON_0006822>	"proximal epiphysis of ulna"
<http://purl.obolibrary.org/obo/HP_0100133>	"Abnormality of the pubic hair"	<http://purl.obolibrary.org/obo/UBERON_0013698>	"strand of pubic hair"
<http://purl.obolibrary.org/obo/HP_0011718>	"Abnormality of the pulmonary veins"	<http://purl.obolibrary.org/obo/UBERON_0002016>	"pulmonary vein"
<http://purl.obolibrary.org/obo/HP_0000615>	"Abnormality of the pupil"	<http://purl.obolibrary.org/obo/UBERON_0001771>	"pupil"
<http://purl.obolibrary.org/obo/HP_0003059>	"Abnormality of the radioulnar joints"	<http://purl.obolibrary.org/obo/UBERON_0001528>	"radio-ulnar joint"
<http://purl.obolibrary.org/obo/HP_0002818>	"Abnormality of the radius"	<http://purl.obolibrary.org/obo/UBERON_0001423>	"radius bone"
<http://purl.obolibrary.org/obo/HP_0004742>	"Abnormality of the renal collecting system"	<http://purl.obolibrary.org/obo/UBERON_0004100>	"renal collecting system"
<http://purl.obolibrary.org/obo/HP_0011035>	"Abnormality of the renal cortex"	<http://purl.obolibrary.org/obo/UBERON_0001225>	"cortex of kidney"
<http://purl.obolibrary.org/obo/HP_0100957>	"Abnormality of the renal medulla"	<http://purl.obolibrary.org/obo/UBERON_0004200>	"kidney pyramid"
<http://purl.obolibrary.org/obo/HP_0010944>	"Abnormality of the renal pelvis"	<http://purl.obolibrary.org/obo/UBERON_0001224>	"renal pelvis"
<http://purl.obolibrary.org/obo/HP_0002086>	"Abnormality of the respiratory system"	<http://purl.obolibrary.org/obo/UBERON_0001004>	"respiratory system"
<http://purl.obolibrary.org/obo/HP_0008046>	"Abnormality of the retinal vasculature"	<http://purl.obolibrary.org/obo/UBERON_0004864>	"vasculature of retina"
<http://purl.obolibrary.org/obo/HP_0000772>	"Abnormality of the ribs"	<http://purl.obolibrary.org/obo/UBERON_0002228>	"rib"
<http://purl.obolibrary.org/obo/HP_0001707>	"Abnormality of the right ventricle"	<http://purl.obolibrary.org/obo/UBERON_0002080>	"heart right ventricle"
<http://purl.obolibrary.org/obo/HP_0100781>	"Abnormality of the sacroiliac joint"	<http://purl.obolibrary.org/obo/UBERON_0001365>	"sacro-iliac joint"
<http://purl.obolibrary.org/obo/HP_0100037>	"Abnormality of the scalp hair"	<http://purl.obolibrary.org/obo/UBERON_0016446>	"hair of head"
<http://purl.obolibrary.org/obo/HP_0040034>	"Abnormality of the second metatarsal bone"	<http://purl.obolibrary.org/obo/UBERON_0003651>	"metatarsal bone of digit 2"
<http://purl.obolibrary.org/obo/HP_0010827>	"Abnormality of the seventh cranial nerve"	<http://purl.obolibrary.org/obo/UBERON_0001647>	"facial nerve"
<http://purl.obolibrary.org/obo/HP_0011348>	"Abnormality of the sixth cranial nerve"	<http://purl.obolibrary.org/obo/UBERON_0001646>	"abducens nerve"
<http://purl.obolibrary.org/obo/HP_0000951>	"Abnormality of the skin"	<http://purl.obolibrary.org/obo/UBERON_0002097>	"skin of body"
<http://purl.obolibrary.org/obo/HP_0000929>	"Abnormality of the skull"	<http://purl.obolibrary.org/obo/UBERON_0003129>	"skull"
<http://purl.obolibrary.org/obo/HP_0002693>	"Abnormality of the skull base"	<http://purl.obolibrary.org/obo/UBERON_0002517>	"basicranium"
<http://purl.obolibrary.org/obo/HP_0100736>	"Abnormality of the soft palate"	<http://purl.obolibrary.org/obo/UBERON_0001733>	"soft palate"
<http://purl.obolibrary.org/obo/HP_0410009>	"Abnormality of the somatic nervous system"	<http://purl.obolibrary.org/obo/UBERON_0000012>	"somatic nervous system"
<http://purl.obolibrary.org/obo/HP_0430022>	"Abnormality of the sphenoid sinus"	<http://purl.obolibrary.org/obo/UBERON_0001724>	"sphenoidal sinus"
<http://purl.obolibrary.org/obo/HP_0010303>	"Abnormality of the spinal meninges"	<http://purl.obolibrary.org/obo/UBERON_0003292>	"meninx of spinal cord"
<http://purl.obolibrary.org/obo/HP_0003133>	"Abnormality of the spinocerebellar tracts"	<http://purl.obolibrary.org/obo/UBERON_0005413>	"spinocerebellar tract"
<http://purl.obolibrary.org/obo/HP_0010994>	"Abnormality of the striatum"	<http://purl.obolibrary.org/obo/UBERON_0002435>	"striatum"
<http://purl.obolibrary.org/obo/HP_0004035>	"Abnormality of the styloid process of ulna"	<http://purl.obolibrary.org/obo/UBERON_0011575>	"styloid process of ulna"
<http://purl.obolibrary.org/obo/HP_0045007>	"Abnormality of the substantia nigra"	<http://purl.obolibrary.org/obo/UBERON_0002038>	"substantia nigra"
<http://purl.obolibrary.org/obo/HP_0009723>	"Abnormality of the subungual region"	<http://purl.obolibrary.org/obo/UBERON_0004105>	"subungual region"
<http://purl.obolibrary.org/obo/HP_0011932>	"Abnormality of the superior cerebellar peduncle"	<http://purl.obolibrary.org/obo/UBERON_0007709>	"superior cerebellar peduncle of pons"
<http://purl.obolibrary.org/obo/HP_0005262>	"Abnormality of the synovia"	<http://purl.obolibrary.org/obo/UBERON_0002217>	"synovial joint"
<http://purl.obolibrary.org/obo/HP_0011004>	"Abnormality of the systemic arterial tree"	<http://purl.obolibrary.org/obo/UBERON_0004571>	"systemic arterial system"
<http://purl.obolibrary.org/obo/HP_0008365>	"Abnormality of the talus"	<http://purl.obolibrary.org/obo/UBERON_0002395>	"talus"
<http://purl.obolibrary.org/obo/HP_0001850>	"Abnormality of the tarsal bones"	<http://purl.obolibrary.org/obo/UBERON_0001447>	"tarsal bone"
<http://purl.obolibrary.org/obo/HP_0010754>	"Abnormality of the temporomandibular joint"	<http://purl.obolibrary.org/obo/UBERON_0003700>	"temporomandibular joint"
<http://purl.obolibrary.org/obo/HP_0010672>	"Abnormality of the third metatarsal bone"	<http://purl.obolibrary.org/obo/UBERON_0003652>	"metatarsal bone of digit 3"
<http://purl.obolibrary.org/obo/HP_0010951>	"Abnormality of the third ventricle"	<http://purl.obolibrary.org/obo/UBERON_0002286>	"third ventricle"
<http://purl.obolibrary.org/obo/HP_0045027>	"Abnormality of the thoracic cavity"	<http://purl.obolibrary.org/obo/UBERON_0002224>	"thoracic cavity"
<http://purl.obolibrary.org/obo/HP_0100711>	"Abnormality of the thoracic spine"	<http://purl.obolibrary.org/obo/UBERON_0006073>	"thoracic region of vertebral column"
<http://purl.obolibrary.org/obo/HP_0002992>	"Abnormality of the tibia"	<http://purl.obolibrary.org/obo/UBERON_0000979>	"tibia"
<http://purl.obolibrary.org/obo/HP_0003832>	"Abnormality of the tibial plateaux"	<http://purl.obolibrary.org/obo/UBERON_0004098>	"tibial plateaux"
<http://purl.obolibrary.org/obo/HP_0040173>	"Abnormality of the tongue muscle"	<http://purl.obolibrary.org/obo/UBERON_0000378>	"tongue muscle"
<http://purl.obolibrary.org/obo/HP_0100765>	"Abnormality of the tonsils"	<http://purl.obolibrary.org/obo/UBERON_0002372>	"tonsil"
<http://purl.obolibrary.org/obo/HP_0010826>	"Abnormality of the twelfth cranial nerve"	<http://purl.obolibrary.org/obo/UBERON_0001650>	"hypoglossal nerve"
<http://purl.obolibrary.org/obo/HP_0002997>	"Abnormality of the ulna"	<http://purl.obolibrary.org/obo/UBERON_0001424>	"ulna"
<http://purl.obolibrary.org/obo/HP_0010881>	"Abnormality of the umbilical cord"	<http://purl.obolibrary.org/obo/UBERON_0002331>	"umbilical cord"
<http://purl.obolibrary.org/obo/HP_0001454>	"Abnormality of the upper arm"	<http://purl.obolibrary.org/obo/UBERON_0003822>	"forelimb stylopod"
<http://purl.obolibrary.org/obo/HP_0002087>	"Abnormality of the upper respiratory tract"	<http://purl.obolibrary.org/obo/UBERON_0001557>	"upper respiratory tract"
<http://purl.obolibrary.org/obo/HP_0010935>	"Abnormality of the upper urinary tract"	<http://purl.obolibrary.org/obo/UBERON_0011143>	"upper urinary tract"
<http://purl.obolibrary.org/obo/HP_0012888>	"Abnormality of the uterine cervix"	<http://purl.obolibrary.org/obo/UBERON_0000002>	"uterine cervix"
<http://purl.obolibrary.org/obo/HP_0008054>	"Abnormality of the vasculature of the conjunctiva"	_:Bgenid35007	
<http://purl.obolibrary.org/obo/HP_0008047>	"Abnormality of the vasculature of the eye"	<http://purl.obolibrary.org/obo/UBERON_0002203>	"vasculature of eye"
<http://purl.obolibrary.org/obo/HP_0005345>	"Abnormality of the vena cava"	<http://purl.obolibrary.org/obo/UBERON_0004087>	"vena cava"
<http://purl.obolibrary.org/obo/HP_0010438>	"Abnormality of the ventricular septum"	<http://purl.obolibrary.org/obo/UBERON_0002094>	"interventricular septum"
<http://purl.obolibrary.org/obo/HP_0030321>	"Abnormality of the vertebral artery"	<http://purl.obolibrary.org/obo/UBERON_0001535>	"vertebral artery"
<http://purl.obolibrary.org/obo/HP_0005106>	"Abnormality of the vertebral endplates"	<http://purl.obolibrary.org/obo/UBERON_0014386>	"vertebral endplate"
<http://purl.obolibrary.org/obo/HP_0008516>	"Abnormality of the vertebral spinous processes"	<http://purl.obolibrary.org/obo/UBERON_0001076>	"neural spine"
<http://purl.obolibrary.org/obo/HP_0011392>	"Abnormality of the vestibular nerve"	<http://purl.obolibrary.org/obo/UBERON_0003723>	"vestibular nerve"
<http://purl.obolibrary.org/obo/HP_0009591>	"Abnormality of the vestibulocochlear nerve"	<http://purl.obolibrary.org/obo/UBERON_0001648>	"vestibulocochlear nerve"
<http://purl.obolibrary.org/obo/HP_0011867>	"Abnormality of the wing of the ilium"	<http://purl.obolibrary.org/obo/UBERON_0010746>	"iliac blade"
